# Xiaoming Li and Shijun Liao, arXiv:2508.08568v1 (2025), Table S2 orbit IDs.
# https://arxiv.org/html/2508.08568v1#Sx1.T2
# Values: authors' public initial-condition-of-3D-periodic-orbits.txt, retrieved 2026-09-05.
# https://github.com/sjtu-liao/three-body/blob/main/initial-condition-of-3D-periodic-orbits.txt
# Source Git blob SHA-1: e242b0e60df08d4992c6063594e105da16108149
# All masses = 1. Positions (-1,0,0), (1,0,0), (0,0,z0).
# Velocities (vx,vy,vz), (vx,vy,-vz), (-2vx,-2vy,0).
# S/U is the AUTHORS' numerical stability classification, not a proof here.
# orbit_id z0 vx vy vz period reported_stability
62 1.42545600211905e-01 3.49739525795482e-01 6.02459695802159e-01 5.62585581220896e-03 4.44132581514811e+01 U
64 2.40898193170789e-01 2.97367445703718e-01 5.51279982883955e-01 6.47207007456840e-03 4.51609137967314e+01 U
231 1.34493458043699e-01 3.37464077114112e-01 5.34953915051988e-01 1.75869830002977e-03 8.26383961713148e+01 S
264 1.25272623141392e-01 3.38125595002994e-01 5.34780831364238e-01 1.84262779773503e-03 8.88478042598410e+01 S
468 1.98825599814360e-01 3.57892685287801e-01 5.34131974559873e-01 -5.33897163779822e-04 1.16032792444522e+02 U
524 9.29210534264829e-02 3.41993336003127e-01 5.33997331682523e-01 1.68264157617208e-03 1.20415123135263e+02 S
574 2.48959068664347e-01 3.38717940515839e-01 5.59172491111913e-01 -2.53364432569509e-03 1.25358913984453e+02 S
609 7.90820233377282e-02 2.86532749468546e-01 5.32953207744461e-01 1.33301494815652e-03 1.28854238910201e+02 U
617 2.50595483920642e-01 3.18838373497816e-01 5.51458407428326e-01 7.22859199454707e-04 1.29276642868411e+02 U
623 2.48843796530449e-01 2.92777779699835e-01 5.54138462986103e-01 6.99454239513280e-03 1.29751602869193e+02 U
735 1.45234785429833e-01 3.32635574964061e-01 5.26160697876615e-01 -3.13743831073568e-03 1.40410311427091e+02 U
793 1.50668568814771e-01 3.35093721551561e-01 5.35289929562978e-01 1.21023760668724e-03 1.46293158547341e+02 U
941 1.39571421756676e-01 3.36720761701878e-01 5.35052715835073e-01 1.65864469003566e-03 1.58936526682973e+02 S
1034 7.99521009984862e-02 3.99913837309489e-01 5.28927864724266e-01 2.67851665218627e-03 1.66848043129031e+02 U
1062 2.53878575775054e-01 3.08558627395417e-01 5.55068966540748e-01 3.45279255121379e-03 1.68877325498810e+02 S
1114 1.97191594553332e-01 3.42081325391153e-01 5.37821840233425e-01 1.45976588773144e-03 1.72798686251170e+02 S
1172 6.32330410141422e-02 3.44738188526112e-01 5.33305813914603e-01 1.21547074468587e-03 1.77267835018535e+02 S
1265 6.10618149418123e-02 3.44898383893509e-01 5.33266237968425e-01 1.17747657588400e-03 1.83588381901228e+02 S
1414 4.97929137322090e-02 2.68730504761150e-01 5.26035159163009e-01 3.21506470089145e-04 1.95574108854233e+02 S
1488 1.57885441186409e-01 3.35614027127255e-01 5.32282063633292e-01 -2.20046972543468e-03 2.01970232104363e+02 S
1497 1.10195403969356e-01 3.39404142075915e-01 5.34917782627333e-01 2.06148797285594e-03 2.03023555265927e+02 S
